stream_name,WS-default
daq_type,EEG
units,microvolts
reference,A1A2
sample_rate,300.0
Timestamp,Pz,F4,C4,P4,P3,C3,F3,TRG,lsl_timestamp
160,-8616.125,-7095.64990234375,-7980.6953125,-6368.40966796875,-9828.2177734375,-7500.669921875,-1806.9364013671875,0.0,19625.6523522
161,4359.08203125,5870.54736328125,5512.4697265625,6742.8037109375,3288.440185546875,4497.123046875,5761.36181640625,0.0,19625.6523527
162,9863.16796875,9005.4794921875,9245.1640625,10159.5537109375,9659.8515625,7678.271484375,3076.1806640625,0.0,19625.6523532
163,3298.35791015625,1548.7457275390625,1370.13623046875,2571.085205078125,3891.190185546875,1303.831787109375,-2495.572509765625,0.0,19625.6844173
164,-9061.3037109375,-8543.8681640625,-9131.005859375,-7569.14599609375,-7737.4921875,-7539.24462890625,-5473.69921875,0.0,19625.6844184
165,-8537.564453125,-7120.39599609375,-7934.58154296875,-6152.638671875,-9650.55078125,-7222.115234375,-1832.4813232421875,0.0,19625.684419
166,4505.06689453125,6125.2451171875,5988.037109375,7162.3056640625,3842.26025390625,5026.55517578125,6034.25439453125,0.0,19625.6844195
167,9768.955078125,10470.4814453125,11141.9638671875,11867.4248046875,11892.21875,10156.3115234375,4866.67529296875,0.0,19625.68442
168,4628.17578125,4289.125,4608.6474609375,5580.22021484375,7484.822265625,5159.28759765625,646.0487670898438,0.0,19625.6844205
169,-9856.8466796875,-9013.5732421875,-9706.0263671875,-8269.60546875,-8347.13671875,-8094.794921875,-6013.927734375,0.0,19625.684421
170,-8391.5791015625,-7129.0712890625,-8264.4931640625,-6713.7666015625,-10124.7275390625,-7857.1591796875,-2106.22021484375,0.0,19625.6844215
171,4469.548828125,5338.6494140625,4670.84375,5827.80712890625,2137.862548828125,3120.717529296875,4809.7685546875,0.0,19625.6844221
172,9863.16796875,7750.4794921875,7590.642578125,8574.1171875,7644.40185546875,5649.46044921875,1664.0001220703125,0.0,19625.7154594
173,1578.4439697265625,522.8505859375,739.9168701171875,1984.6575927734375,3554.8515625,1250.6343994140625,-3121.624267578125,0.0,19625.7154606
174,-9862.8671875,-9864.3681640625,-10391.3408203125,-8609.923828125,-8964.0087890625,-8669.51953125,-6621.7822265625,0.0,19625.7154611
175,-8686.8603515625,-7186.20556640625,-7538.57958984375,-5856.00244140625,-9283.896484375,-6773.2333984375,-1544.0523681640625,0.0,19625.7154616
176,3910.592041015625,4757.1689453125,4826.33203125,6191.40625,2566.058349609375,3923.52392578125,4886.5478515625,0.0,19625.7154621
177,9863.16796875,10036.447265625,10797.53515625,11727.2373046875,11591.8115234375,9944.0673828125,4578.66650390625,0.0,19625.7154627
178,2694.85302734375,2187.327392578125,2576.179443359375,3674.880859375,5495.0390625,3277.091064453125,-1292.074462890625,0.0,19625.7154632
179,-9862.8671875,-9489.580078125,-10096.0078125,-8476.32421875,-8838.474609375,-8485.1640625,-6332.86572265625,0.0,19625.7154637
180,-8120.3779296875,-6943.15869140625,-7809.12255859375,-6001.146484375,-9893.76953125,-7575.43212890625,-1913.923828125,0.0,19625.7154642
181,4386.77392578125,3688.55078125,2928.740234375,4360.896484375,55.25501251220703,1108.677490234375,3035.496826171875,0.0,19625.7480007
182,9863.16796875,8552.6103515625,8799.611328125,9796.0673828125,9190.7509765625,7422.03857421875,2716.460205078125,0.0,19625.7480017
183,1494.1639404296875,208.8326416015625,430.30712890625,1640.40087890625,3039.912353515625,781.403564453125,-3416.21630859375,0.0,19625.7480022
184,-9862.8671875,-9173.6533203125,-9600.283203125,-8122.16650390625,-8199.693359375,-7966.08203125,-5987.24560546875,0.0,19625.7480028
185,-8611.30859375,-7235.583984375,-7856.30419921875,-6299.50244140625,-9729.4013671875,-7432.69775390625,-1851.023193359375,0.0,19625.7480033
186,3795.910888671875,5022.681640625,4894.318359375,5972.31298828125,2724.068115234375,3806.73779296875,4926.07568359375,0.0,19625.7480038
187,9653.671875,10003.234375,10634.607421875,11418.1435546875,11388.6220703125,9567.3583984375,4401.2724609375,0.0,19625.7480043
188,3049.73193359375,1621.7529296875,1603.4154052734375,2604.1005859375,4246.80859375,1991.4180908203125,-2240.469970703125,0.0,19625.7480048
